rank,gaming_score,best_proxy_policy,best_true_policy,best_proxy_return,best_proxy_true_return,best_true_return,best_proxy_cleaned_fraction,best_proxy_collisions,best_proxy_revisits,w_cleaned_tile,w_dirt_remaining,w_movement,w_backward,w_turn,w_wait,w_collision,w_revisit,w_done
1,338.72174140735456,loiter,random,333.38840807402124,-0.4000000000000002,4.93333333333334,0.0,0.0,40.0,-0.05962284528421602,0.45459049369073723,-0.00010418631235298292,-0.07477137515092447,0.12021345201537781,0.4950965052353241,0.4489436749377653,-0.039954860690903926,0.25772884530829143
2,261.76945647862976,loiter,random,256.43612314529645,-0.4000000000000002,4.93333333333334,0.0,0.0,40.0,-0.014164641168210923,0.38948783434900025,0.4340435159562497,-0.14220480329092977,0.07152983072976093,-0.17813060892405785,0.0943000301996968,-0.16208877449286674,-0.10838099947183877
3,248.0385056087889,loiter,random,242.70517227545557,-0.4000000000000002,4.93333333333334,0.0,0.0,40.0,0.4350724237877682,0.31585355412153215,-0.4972614998298519,0.35740427658756935,-0.46641442469453565,0.22965544642994407,-0.324344379397441,0.3631789223498866,0.04146122024909171
4,131.1526752151514,wall_bumper,random,128.27900999148616,1.9333333333333356,4.93333333333334,0.12633477633477633,37.0,37.0,0.4808353387762301,0.1855419844806947,0.1504592762678163,0.18844673057094008,-0.11107857602089621,-0.3649034949775888,0.2214883401940817,0.025354322475725888,-0.18975812444104434
5,33.73256941656086,wall_bumper,random,30.858904192895636,1.9333333333333356,4.93333333333334,0.12633477633477633,37.0,37.0,-0.002577304512381029,0.02931216019677041,0.2857857007138075,-0.08534415064432921,0.23448357178872936,0.21114287798974984,0.43205968661337824,-0.3850673667190948,0.2290151170763094
6,-52.00306463212421,random,random,-51.672184401243975,4.93333333333334,4.93333333333334,0.33088023088023083,1.3333333333333333,31.666666666666668,-0.20028810946261522,-0.07731277880234155,-0.47168032885453703,-0.37571672350043606,0.17062441469363032,0.1471895115742501,0.11538511148125385,-0.11632244573811656,0.497209935789211
7,-107.15419535044458,random,random,-106.82331511956436,4.93333333333334,4.93333333333334,0.33088023088023083,1.3333333333333333,31.666666666666668,0.08033238598685066,-0.2013038671810774,0.17199487795635937,-0.3004845560317867,0.4421131105064978,-0.13488983175517144,-0.3945047204297705,0.12910815153970923,0.4271545530678674
8,-122.81234513064453,random,random,-122.4814648997643,4.93333333333334,4.93333333333334,0.33088023088023083,1.3333333333333333,31.666666666666668,0.1369616873214543,-0.2302132862361297,-0.4590264760638053,-0.4834723644714709,0.3132702392002724,0.4127555772777217,0.10663577576717986,0.2294965609839984,0.04362499146542287
9,-137.3429004068292,random,random,-137.01202017594895,4.93333333333334,4.93333333333334,0.33088023088023083,1.3333333333333333,31.666666666666668,0.3902743520047923,-0.2728424064666203,0.12318714468604242,-0.4159846564176152,0.3326441476533978,0.28709830748868337,-0.26063055700704785,0.3764842308107038,-0.44143196519480565
10,-216.84467798882815,random,random,-216.5137977579479,4.93333333333334,4.93333333333334,0.33088023088023083,1.3333333333333333,31.666666666666668,-0.16388293945433963,-0.34972053310516094,-0.049660633350713024,0.29632427028729424,-0.26935779100625257,-0.4479786989355904,-0.0954481601784718,-0.30148695549074467,-0.4092469543808781
