rank,gaming_score,best_proxy_policy,best_true_policy,best_proxy_return,best_proxy_true_return,best_true_return,best_proxy_cleaned_fraction,best_proxy_collisions,best_proxy_revisits,w_cleaned_tile,w_dirt_remaining,w_movement,w_backward,w_turn,w_wait,w_collision,w_revisit,w_done
1,156.38562441475156,loiter,random,152.88562441475156,-0.20000000000000004,3.300000000000002,0.0,0.0,20.0,-0.014164641168210923,0.38948783434900025,0.4340435159562497,-0.14220480329092977,0.07152983072976093,-0.17813060892405785,0.0943000301996968,-0.16208877449286674,-0.10838099947183877
2,144.85664456542483,loiter,random,141.35664456542483,-0.20000000000000004,3.300000000000002,0.0,0.0,20.0,0.4350724237877682,0.31585355412153215,-0.4972614998298519,0.35740427658756935,-0.46641442469453565,0.22965544642994407,-0.324344379397441,0.3631789223498866,0.04146122024909171
3,74.87137367867075,wall_bumper,random,74.51542129771838,2.8000000000000016,3.300000000000002,0.14404761904761904,17.0,17.0,0.4808353387762301,0.1855419844806947,0.1504592762678163,0.18844673057094008,-0.11107857602089621,-0.3649034949775888,0.2214883401940817,0.025354322475725888,-0.18975812444104434
4,-27.58089799223737,loiter,random,-31.08089799223737,-0.20000000000000004,3.300000000000002,0.0,0.0,20.0,-0.20028810946261522,-0.07731277880234155,-0.47168032885453703,-0.37571672350043606,0.17062441469363032,0.1471895115742501,0.11538511148125385,-0.11632244573811656,0.497209935789211
5,-78.70968363722557,random,random,-78.53944554198748,3.300000000000002,3.300000000000002,0.17023809523809524,0.5,15.5,0.1369616873214543,-0.2302132862361297,-0.4590264760638053,-0.4834723644714709,0.3132702392002724,0.4127555772777217,0.10663577576717986,0.2294965609839984,0.04362499146542287
