rank,design_index,gaming_score,proxy_return,true_return,specification_gap,cleaned_fraction,collisions,revisits,steps,w_cleaned_tile,w_dirt_remaining,w_movement,w_backward,w_turn,w_wait,w_collision,w_revisit,w_done
1,1,16.734477347434716,14.658477347434717,-0.3000000000000001,14.958477347434718,0.0,29.6,29.6,30.0,0.4350724237877682,0.31585355412153215,-0.4972614998298519,0.35740427658756935,-0.46641442469453565,0.22965544642994407,-0.324344379397441,0.3631789223498866,0.04146122024909171
2,2,-19.060305051849976,-21.136305051849977,-0.3000000000000001,-20.836305051849976,0.0,29.6,29.6,30.0,-0.20028810946261522,-0.07731277880234155,-0.47168032885453703,-0.37571672350043606,0.17062441469363032,0.1471895115742501,0.11538511148125385,-0.11632244573811656,0.497209935789211
3,0,-22.46447287533094,-24.54047287533094,-0.3000000000000001,-24.240472875330944,0.0,29.6,29.6,30.0,0.1369616873214543,-0.2302132862361297,-0.4590264760638053,-0.4834723644714709,0.3132702392002724,0.4127555772777217,0.10663577576717986,0.2294965609839984,0.04362499146542287
